m/z,Intensity,Time
5575.310359431194, 2303.844019497562, 42.07874054617808
5575.736531462367, 2291.8830146231717, 42.080340546178086
5576.162719800123, 2278.3063026212626, 42.08194054617809
5576.588924444465, 2263.185465453181, 42.08354054617809
5577.015145395389, 2250.7114565224797, 42.085140546178096
5577.441382652897, 2238.632852711593, 42.0867405461781
5577.86763621699, 2221.136176159798, 42.0883405461781
5578.293906087667, 2196.8767085932436, 42.089940546178106
5578.720192264926, 2167.178716296826, 42.09154054617811
5579.146494748769, 2136.9199986365334, 42.09314054617811
5579.572813539197, 2102.956062310393, 42.094740546178116
5579.9991486362105, 2073.096158434741, 42.09634054617812
5580.425500039805, 2046.7130926815967, 42.09794054617812
5580.851867749984, 2023.416572928384, 42.099540546178126
5581.278251766748, 2002.5981525036643, 42.10114054617813
5581.704652090096, 1988.2408562566043, 42.10274054617813
5582.131068720026, 1979.586256263422, 42.104340546178136
5582.557501656541, 1978.3403892695237, 42.10594054617814
5582.983950899641, 1980.637829362239, 42.10754054617814
5583.410416449324, 1986.0047721307565, 42.109140546178146
5583.836898305589, 1990.5161400279517, 42.11074054617815
5584.263396468441, 1994.0816034359339, 42.11234054617815
5584.689910937875, 2004.6569860585605, 42.113940546178156
5585.116441713893, 2022.789378600402, 42.11554054617816
5585.542988796494, 2050.5682925997885, 42.11714054617816
5585.969552185681, 2084.8884344002454, 42.11874054617817
5586.396131881451, 2122.5439547329306, 42.12034054617817
5586.822727883804, 2158.5905852677506, 42.12194054617817
5587.249340192741, 2189.9537103316625, 42.12354054617818
5587.675968808264, 2217.2298462692156, 42.12514054617818
5588.102613730369, 2240.5843133244703, 42.12674054617818
5588.529274959057, 2260.289804683505, 42.12834054617819
5588.9559524943315, 2280.2356069127713, 42.12994054617819
5589.382646336188, 2297.4391382895315, 42.13154054617819
5589.8093564846295, 2314.337594164366, 42.1331405461782
5590.236082939653, 2326.341207349081, 42.1347405461782
5590.662825701263, 2332.6608719364617, 42.136340546178204
5591.0895847694555, 2332.2109281794314, 42.13794054617821
5591.516360144232, 2320.183454340933, 42.13954054617821
5591.943151825592, 2304.3621365511112, 42.141140546178214
5592.369959813536, 2282.3557964345355, 42.14274054617822
5592.7967841080645, 2261.547602004294, 42.14434054617822
5593.223624709176, 2243.113542625353, 42.145940546178224
5593.650481616872, 2222.6274670211674, 42.14754054617823
5594.077354831152, 2203.5968912976778, 42.14914054617823
5594.504244352015, 2184.5475679176457, 42.150740546178234
5594.931150179462, 2161.2118485189344, 42.15234054617824
5595.358072313494, 2134.9855813477857, 42.15394054617824
5595.785010754109, 2102.1004874390705, 42.155540546178244
5596.2119655013075, 2068.5847905375463, 42.15714054617825
5596.638936555092, 2034.6651668541435, 42.15874054617825
5597.0659239154575, 1997.4970855915742, 42.160340546178254
5597.492927582408, 1961.9566417834135, 42.16194054617826
